,,Total Budget,,,,,,Budget currency,,,,,,,,,,,,,,,,,USD at budget exchange rate: 17.2,,,,,,,,,,,,
,,2026 Cancun,,,,,," $ 1,503,560.78 "," $ 1,457,680.78 "," $ 1,333,110.78 "," $ 1,334,910.78 "," $ 1,278,560.78 "," $ 1,262,460.78 "," $ 1,308,180.78 "," $ 1,220,375.78 "," $ 1,203,260.78 "," $ 1,238,860.78 "," $ 1,275,260.78 "," $ 1,134,025.78 "," $ 15,550,249.36 ",,,,," $ 87,416.32 "," $ 84,748.88 "," $ 77,506.44 "," $ 77,611.09 "," $ 74,334.93 "," $ 73,398.88 "," $ 76,057.02 "," $ 70,952.08 "," $ 69,957.02 "," $ 72,026.79 "," $ 74,143.07 "," $ 65,931.73 "," $ 904,084.27 "
Budget,KEY,US Netsuite Category,Producto,Clase,Dato estadistico: Presupuesto,Description,Additional Desc. (optional),January MXN,February MXN,March MXN,April MXN,May MXN,June MXN,July MXN,August MXN,September MXN,October MXN,November MXN,December MXN,2026 Total MXN,,,,,January USD,February USD,March USD,April USD,May USD,June USD,July USD,August USD,September USD,October USD,November USD,December USD,2026 Total USD
Cancun,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun,1020,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Mtto. a Instalaciones,Facilities maitenance,"Mantenimiento del CCTR
(Reparacion, alumbrado, grietas, desague, retiro de salitre, entre otros)"," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 4,000.00 "," $ 48,000.00 ",,,,, $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 , $ 232.56 ," $ 2,790.70 "
Cancun,1021,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Entrenamientos,Training for general services staff,"Capacitación en servicios generales
Adquisicion de conocimiento, habilidades y destrezas para el personal en Mantenimiento",," $ 15,000.00 ",,,,,,,,,,," $ 15,000.00 ",,,,,, $ 872.09 ,,,,,,,,,,, $ 872.09 
Cancun,1022,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Entrenamientos,Tranings for staff,Entrenamientos para staff,," $ 20,000.00 ",,,,,,,,,,," $ 20,000.00 ",,,,,," $ 1,162.79 ",,,,,,,,,,," $ 1,162.79 "
Cancun,1023,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Protección Civil,Civil protection,"Protección civil
Tramites, Taller, asesorias"," $ 40,000.00 ",,," $ 4,100.00 ",,,,,," $ 4,100.00 ",,," $ 48,200.00 ",,,,," $ 2,325.58 ",,, $ 238.37 ,,,,,, $ 238.37 ,,," $ 2,802.33 "
Cancun,1024,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Productos de Limpieza,"Cleaning, hygiene, and maintenance supplies","Suministros de limpieza, higiene y mantenimiento"," $ 4,300.00 "," $ 4,300.00 "," $ 4,300.00 "," $ 4,300.00 "," $ 4,300.00 "," $ 4,300.00 "," $ 4,300.00 "," $ 4,300.00 "," $ 4,300.00 "," $ 4,300.00 "," $ 4,300.00 "," $ 4,300.00 "," $ 51,600.00 ",,,,, $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 ," $ 3,000.00 "
Cancun,1025,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Productos de Limpieza,Cleaning materials,Equipamento de limpieza," $ 15,000.00 ",,,,,,,,,,,," $ 15,000.00 ",,,,, $ 872.09 ,,,,,,,,,,,, $ 872.09 
Cancun,1026,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Ayuda Asistencial,Shopping,Propinas, $ 100.00 , $ 100.00 , $ 100.00 , $ 100.00 , $ 100.00 , $ 100.00 , $ 100.00 , $ 100.00 , $ 100.00 , $ 100.00 , $ 100.00 , $ 100.00 ," $ 1,200.00 ",,,,, $ 5.81 , $ 5.81 , $ 5.81 , $ 5.81 , $ 5.81 , $ 5.81 , $ 5.81 , $ 5.81 , $ 5.81 , $ 5.81 , $ 5.81 , $ 5.81 , $ 69.77 
Cancun,1027,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Alimentos,Staff meetings,Insumos para staff," $ 3,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 3,000.00 "," $ 36,000.00 ",,,,, $ 174.42 , $ 174.42 , $ 174.42 , $ 174.42 , $ 174.42 , $ 174.42 , $ 174.42 , $ 174.42 , $ 174.42 , $ 174.42 , $ 174.42 , $ 174.42 ," $ 2,093.02 "
Cancun,1028,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Gastos Médicos,Medical equipment and medical equipment maintenance,Equipamiento médico y mantenimiento a equipo médico," $ 20,000.00 ",,," $ 5,000.00 ",,,,," $ 5,000.00 ",,,," $ 30,000.00 ",,,,," $ 1,162.79 ",,, $ 290.70 ,,,,, $ 290.70 ,,,," $ 1,744.19 "
Cancun,1029,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Agua,Drinking Water,Agua para beber," $ 1,650.00 "," $ 1,650.00 "," $ 1,650.00 "," $ 1,650.00 "," $ 1,650.00 "," $ 1,650.00 "," $ 1,650.00 "," $ 1,650.00 "," $ 1,650.00 "," $ 1,650.00 "," $ 1,650.00 "," $ 1,650.00 "," $ 19,800.00 ",,,,, $ 95.93 , $ 95.93 , $ 95.93 , $ 95.93 , $ 95.93 , $ 95.93 , $ 95.93 , $ 95.93 , $ 95.93 , $ 95.93 , $ 95.93 , $ 95.93 ," $ 1,151.16 "
Cancun,1030,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Gas LP,Propane -Propano,Gas LP para la preparacion de los alimentos, $ 150.00 , $ 150.00 , $ 150.00 , $ 150.00 , $ 150.00 , $ 150.00 , $ 150.00 ,, $ 150.00 , $ 150.00 , $ 150.00 ,," $ 1,500.00 ",,,,, $ 8.72 , $ 8.72 , $ 8.72 , $ 8.72 , $ 8.72 , $ 8.72 , $ 8.72 ,, $ 8.72 , $ 8.72 , $ 8.72 ,, $ 87.21 
Cancun,1031,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Mtto. a Instalaciones,Trash,Basura, $ 400.00 , $ 400.00 , $ 400.00 , $ 400.00 , $ 400.00 , $ 400.00 , $ 400.00 , $ 400.00 , $ 400.00 , $ 400.00 , $ 400.00 , $ 400.00 ," $ 4,800.00 ",,,,, $ 23.26 , $ 23.26 , $ 23.26 , $ 23.26 , $ 23.26 , $ 23.26 , $ 23.26 , $ 23.26 , $ 23.26 , $ 23.26 , $ 23.26 , $ 23.26 , $ 279.07 
Cancun,1032,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Brigadas Médicas,Medical brigades,Brigadas médicas,,," $ 15,000.00 ",,,,," $ 15,000.00 ",,,,," $ 30,000.00 ",,,,,,, $ 872.09 ,,,,, $ 872.09 ,,,,," $ 1,744.19 "
Cancun,1033,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Entrenamientos,"Development for staff, books, courses, dev for staff",Crecimiento del personal - material," $ 4,500.00 "," $ 4,500.00 "," $ 4,500.00 "," $ 4,500.00 "," $ 4,500.00 "," $ 4,500.00 "," $ 4,500.00 "," $ 4,500.00 "," $ 4,500.00 "," $ 4,500.00 "," $ 4,500.00 "," $ 4,500.00 "," $ 54,000.00 ",,,,, $ 261.63 , $ 261.63 , $ 261.63 , $ 261.63 , $ 261.63 , $ 261.63 , $ 261.63 , $ 261.63 , $ 261.63 , $ 261.63 , $ 261.63 , $ 261.63 ," $ 3,139.53 "
Cancun,1034,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Entrenamientos,"Trainings - life in limbo, children's rights, working genius",Vida en limbo/working Genius/children´s rights training,," $ 12,000.00 ",,," $ 12,000.00 ",,,,," $ 12,000.00 ",,," $ 36,000.00 ",,,,,, $ 697.67 ,,, $ 697.67 ,,,,, $ 697.67 ,,," $ 2,093.02 "
Cancun,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun,1036,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Gasolina,Fuel,Gasolina," $ 1,860.00 "," $ 1,860.00 "," $ 1,860.00 "," $ 1,860.00 "," $ 1,860.00 "," $ 1,860.00 "," $ 1,860.00 "," $ 1,860.00 "," $ 1,860.00 "," $ 1,860.00 "," $ 1,860.00 "," $ 1,860.00 "," $ 22,320.00 ",,,,, $ 108.14 , $ 108.14 , $ 108.14 , $ 108.14 , $ 108.14 , $ 108.14 , $ 108.14 , $ 108.14 , $ 108.14 , $ 108.14 , $ 108.14 , $ 108.14 ," $ 1,297.67 "
Cancun,1037,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Seguros y Fianzas,Insurance & Plates,Tenencias y seguro de vehículos, $ 930.00 , $ 930.00 , $ 930.00 , $ 930.00 , $ 930.00 , $ 930.00 , $ 930.00 , $ 930.00 , $ 930.00 , $ 930.00 , $ 930.00 , $ 930.00 ," $ 11,160.00 ",,,,, $ 54.07 , $ 54.07 , $ 54.07 , $ 54.07 , $ 54.07 , $ 54.07 , $ 54.07 , $ 54.07 , $ 54.07 , $ 54.07 , $ 54.07 , $ 54.07 , $ 648.84 
Cancun,1038,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Mtto. Eq de Transporte,Vehicles maintenance,Mantenimiento de vehículos, $ 775.00 , $ 775.00 , $ 775.00 , $ 775.00 , $ 775.00 , $ 775.00 , $ 775.00 , $ 775.00 , $ 775.00 , $ 775.00 , $ 775.00 , $ 775.00 ," $ 9,300.00 ",,,,, $ 45.06 , $ 45.06 , $ 45.06 , $ 45.06 , $ 45.06 , $ 45.06 , $ 45.06 , $ 45.06 , $ 45.06 , $ 45.06 , $ 45.06 , $ 45.06 , $ 540.70 
Cancun,1039,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Otros Impuestos y Derechos,Chofer License,Licencias de conducir, $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 ," $ 3,000.00 ",,,,, $ 14.53 , $ 14.53 , $ 14.53 , $ 14.53 , $ 14.53 , $ 14.53 , $ 14.53 , $ 14.53 , $ 14.53 , $ 14.53 , $ 14.53 , $ 14.53 , $ 174.42 
Cancun,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun,1041,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Viáticos,ACH/CAFO/CCDA,Viajes a CAFO y ACH,," $ 40,000.00 ",,,,,," $ 20,000.00 ",,,,," $ 60,000.00 ",,,,,," $ 2,325.58 ",,,,,," $ 1,162.79 ",,,,," $ 3,488.37 "
Cancun,1042,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Visitas US,Anual GLM/ANHO - Site leaders,Viaje anual - Junta de liderazgo global/Noche de esperanza | Liderazgo del sitio,," $ 35,000.00 ",,,,,," $ 20,000.00 ",,,,," $ 55,000.00 ",,,,,," $ 2,034.88 ",,,,,," $ 1,162.79 ",,,,," $ 3,197.67 "
Cancun,1043,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Viáticos,Travel between sites,Viajes entre sitios," $ 10,000.00 ",,,,,," $ 10,000.00 ",,,,,," $ 20,000.00 ",,,,, $ 581.40 ,,,,,, $ 581.40 ,,,,,," $ 1,162.79 "
Cancun,1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun,1045,International Operations,ARRENDAMIENTOS CUN,OPERACIONES DEL SITIO,Electricidad,Electricity,CFE," $ 6,000.00 "," $ 6,000.00 "," $ 6,000.00 "," $ 6,000.00 "," $ 6,000.00 "," $ 6,000.00 "," $ 6,000.00 "," $ 6,000.00 "," $ 6,000.00 "," $ 6,000.00 "," $ 6,000.00 "," $ 6,000.00 "," $ 72,000.00 ",,,,, $ 348.84 , $ 348.84 , $ 348.84 , $ 348.84 , $ 348.84 , $ 348.84 , $ 348.84 , $ 348.84 , $ 348.84 , $ 348.84 , $ 348.84 , $ 348.84 ," $ 4,186.05 "
Cancun,1046,International Operations,ARRENDAMIENTOS CUN,OPERACIONES DEL SITIO,Internet,Internet,Internet, $ 880.00 , $ 880.00 , $ 880.00 , $ 880.00 , $ 880.00 , $ 880.00 , $ 880.00 , $ 880.00 , $ 880.00 , $ 880.00 , $ 880.00 , $ 880.00 ," $ 10,560.00 ",,,,, $ 51.16 , $ 51.16 , $ 51.16 , $ 51.16 , $ 51.16 , $ 51.16 , $ 51.16 , $ 51.16 , $ 51.16 , $ 51.16 , $ 51.16 , $ 51.16 , $ 613.95 
Cancun,1047,International Operations,ARRENDAMIENTOS CUN,OPERACIONES DEL SITIO,Mtto. a Instalaciones,Maintenance,Mantenimiento de casa," $ 5,880.00 "," $ 5,880.00 "," $ 5,880.00 "," $ 5,880.00 "," $ 5,880.00 "," $ 5,880.00 "," $ 5,880.00 "," $ 5,880.00 "," $ 5,880.00 "," $ 5,880.00 "," $ 5,880.00 "," $ 5,880.00 "," $ 70,560.00 ",,,,, $ 341.86 , $ 341.86 , $ 341.86 , $ 341.86 , $ 341.86 , $ 341.86 , $ 341.86 , $ 341.86 , $ 341.86 , $ 341.86 , $ 341.86 , $ 341.86 ," $ 4,102.33 "
Cancun,1048,International Operations,ARRENDAMIENTOS CUN,OPERACIONES DEL SITIO,Renta,Rent,Renta," $ 64,000.00 "," $ 64,000.00 "," $ 64,000.00 "," $ 64,000.00 "," $ 64,000.00 "," $ 64,000.00 "," $ 64,000.00 "," $ 64,000.00 "," $ 64,000.00 "," $ 64,000.00 "," $ 64,000.00 "," $ 64,000.00 "," $ 768,000.00 ",,,,," $ 3,720.93 "," $ 3,720.93 "," $ 3,720.93 "," $ 3,720.93 "," $ 3,720.93 "," $ 3,720.93 "," $ 3,720.93 "," $ 3,720.93 "," $ 3,720.93 "," $ 3,720.93 "," $ 3,720.93 "," $ 3,720.93 "," $ 44,651.16 "
